DEBUG:uss_nmf:Initializing factor matrices
DEBUG:uss_nmf:Initialization completed
DEBUG:uss_nmf:::: [108] fit: 1146.28081 | delta: 1.5e-03 | secs: 0.88182
DEBUG:uss_nmf:::: [109] fit: 1144.51992 | delta: 1.5e-03 | secs: 0.71738
DEBUG:uss_nmf:::: [110] fit: 1142.77614 | delta: 1.5e-03 | secs: 0.66067
DEBUG:uss_nmf:::: [111] fit: 1141.04906 | delta: 1.5e-03 | secs: 0.65858
DEBUG:uss_nmf:::: [112] fit: 1139.33809 | delta: 1.5e-03 | secs: 0.65614
DEBUG:uss_nmf:::: [113] fit: 1137.64272 | delta: 1.5e-03 | secs: 0.88596
DEBUG:uss_nmf:::: [114] fit: 1135.96244 | delta: 1.5e-03 | secs: 0.88295
DEBUG:uss_nmf:::: [115] fit: 1134.29667 | delta: 1.5e-03 | secs: 0.72045
DEBUG:uss_nmf:::: [116] fit: 1132.64508 | delta: 1.5e-03 | secs: 0.72503
DEBUG:uss_nmf:::: [117] fit: 1131.00724 | delta: 1.4e-03 | secs: 0.69093
DEBUG:uss_nmf:::: [118] fit: 1129.38277 | delta: 1.4e-03 | secs: 0.68643
DEBUG:uss_nmf:::: [119] fit: 1127.77142 | delta: 1.4e-03 | secs: 0.67716
DEBUG:uss_nmf:::: [120] fit: 1126.17293 | delta: 1.4e-03 | secs: 0.66948
DEBUG:uss_nmf:::: [121] fit: 1124.58707 | delta: 1.4e-03 | secs: 0.67429
DEBUG:uss_nmf:::: [122] fit: 1123.01353 | delta: 1.4e-03 | secs: 0.69224
DEBUG:uss_nmf:::: [123] fit: 1121.45201 | delta: 1.4e-03 | secs: 0.68414
DEBUG:uss_nmf:::: [124] fit: 1119.90233 | delta: 1.4e-03 | secs: 0.70070
DEBUG:uss_nmf:::: [125] fit: 1118.36413 | delta: 1.4e-03 | secs: 0.68185
DEBUG:uss_nmf:::: [126] fit: 1116.83705 | delta: 1.4e-03 | secs: 0.66707
DEBUG:uss_nmf:::: [127] fit: 1115.32090 | delta: 1.4e-03 | secs: 0.67646
DEBUG:uss_nmf:::: [128] fit: 1113.81545 | delta: 1.3e-03 | secs: 0.84417
DEBUG:uss_nmf:::: [129] fit: 1112.32055 | delta: 1.3e-03 | secs: 0.68915
DEBUG:uss_nmf:::: [130] fit: 1110.83592 | delta: 1.3e-03 | secs: 0.67828
DEBUG:uss_nmf:::: [131] fit: 1109.36164 | delta: 1.3e-03 | secs: 0.68235
DEBUG:uss_nmf:::: [132] fit: 1107.89760 | delta: 1.3e-03 | secs: 0.65811
DEBUG:uss_nmf:::: [133] fit: 1106.44354 | delta: 1.3e-03 | secs: 0.68128
DEBUG:uss_nmf:::: [134] fit: 1104.99932 | delta: 1.3e-03 | secs: 0.68827
DEBUG:uss_nmf:::: [135] fit: 1103.56475 | delta: 1.3e-03 | secs: 0.67310
DEBUG:uss_nmf:::: [136] fit: 1102.13975 | delta: 1.3e-03 | secs: 0.65498
DEBUG:uss_nmf:::: [137] fit: 1100.72413 | delta: 1.3e-03 | secs: 0.69146
DEBUG:uss_nmf:::: [138] fit: 1099.31771 | delta: 1.3e-03 | secs: 0.74587
DEBUG:uss_nmf:::: [139] fit: 1097.92037 | delta: 1.3e-03 | secs: 0.96963
DEBUG:uss_nmf:::: [140] fit: 1096.53181 | delta: 1.3e-03 | secs: 0.78693
DEBUG:uss_nmf:::: [141] fit: 1095.15195 | delta: 1.3e-03 | secs: 0.74314
DEBUG:uss_nmf:::: [142] fit: 1093.78062 | delta: 1.3e-03 | secs: 0.72408
DEBUG:uss_nmf:::: [143] fit: 1092.41762 | delta: 1.2e-03 | secs: 0.74241
DEBUG:uss_nmf:::: [144] fit: 1091.06272 | delta: 1.2e-03 | secs: 0.75792
DEBUG:uss_nmf:::: [145] fit: 1089.71584 | delta: 1.2e-03 | secs: 0.73662
DEBUG:uss_nmf:::: [146] fit: 1088.37678 | delta: 1.2e-03 | secs: 0.74522
DEBUG:uss_nmf:::: [147] fit: 1087.04551 | delta: 1.2e-03 | secs: 0.74412
DEBUG:uss_nmf:::: [148] fit: 1085.72184 | delta: 1.2e-03 | secs: 0.88235
DEBUG:uss_nmf:::: [149] fit: 1084.40574 | delta: 1.2e-03 | secs: 0.76696
DEBUG:uss_nmf:::: [150] fit: 1083.09712 | delta: 1.2e-03 | secs: 0.75842
DEBUG:uss_nmf:::: [151] fit: 1081.79585 | delta: 1.2e-03 | secs: 0.76532
DEBUG:uss_nmf:::: [152] fit: 1080.50189 | delta: 1.2e-03 | secs: 0.78975
DEBUG:uss_nmf:::: [153] fit: 1079.21511 | delta: 1.2e-03 | secs: 0.66105
DEBUG:uss_nmf:::: [154] fit: 1077.93555 | delta: 1.2e-03 | secs: 0.65712
DEBUG:uss_nmf:::: [155] fit: 1076.66307 | delta: 1.2e-03 | secs: 0.84184
DEBUG:uss_nmf:::: [156] fit: 1075.39773 | delta: 1.2e-03 | secs: 0.83057
DEBUG:uss_nmf:::: [157] fit: 1074.13942 | delta: 1.2e-03 | secs: 0.82844
DEBUG:uss_nmf:::: [158] fit: 1072.88800 | delta: 1.2e-03 | secs: 0.66074
DEBUG:uss_nmf:::: [159] fit: 1071.64343 | delta: 1.2e-03 | secs: 0.84127
DEBUG:uss_nmf:::: [160] fit: 1070.40572 | delta: 1.2e-03 | secs: 0.83504
DEBUG:uss_nmf:::: [161] fit: 1069.17478 | delta: 1.1e-03 | secs: 0.95998
DEBUG:uss_nmf:::: [162] fit: 1067.95041 | delta: 1.1e-03 | secs: 0.66020
DEBUG:uss_nmf:::: [163] fit: 1066.73257 | delta: 1.1e-03 | secs: 0.65618
DEBUG:uss_nmf:::: [164] fit: 1065.52124 | delta: 1.1e-03 | secs: 0.65802
DEBUG:uss_nmf:::: [165] fit: 1064.31622 | delta: 1.1e-03 | secs: 0.65441
DEBUG:uss_nmf:::: [166] fit: 1063.11748 | delta: 1.1e-03 | secs: 0.65818
DEBUG:uss_nmf:::: [167] fit: 1061.92494 | delta: 1.1e-03 | secs: 0.81755
DEBUG:uss_nmf:::: [168] fit: 1060.73852 | delta: 1.1e-03 | secs: 0.82756
DEBUG:uss_nmf:::: [169] fit: 1059.55816 | delta: 1.1e-03 | secs: 1.40187
DEBUG:uss_nmf:::: [170] fit: 1058.38371 | delta: 1.1e-03 | secs: 0.93933
DEBUG:uss_nmf:::: [171] fit: 1057.21528 | delta: 1.1e-03 | secs: 1.18130
DEBUG:uss_nmf:::: [172] fit: 1056.05269 | delta: 1.1e-03 | secs: 0.67690
DEBUG:uss_nmf:::: [173] fit: 1054.89600 | delta: 1.1e-03 | secs: 0.66880
DEBUG:uss_nmf:::: [174] fit: 1053.74515 | delta: 1.1e-03 | secs: 1.00696
DEBUG:uss_nmf:::: [175] fit: 1052.60012 | delta: 1.1e-03 | secs: 0.68286
DEBUG:uss_nmf:::: [176] fit: 1051.46083 | delta: 1.1e-03 | secs: 0.66708
DEBUG:uss_nmf:::: [177] fit: 1050.32728 | delta: 1.1e-03 | secs: 0.66292
DEBUG:uss_nmf:::: [178] fit: 1049.19944 | delta: 1.1e-03 | secs: 0.66272
DEBUG:uss_nmf:::: [179] fit: 1048.07713 | delta: 1.1e-03 | secs: 0.89982
DEBUG:uss_nmf:::: [180] fit: 1046.96036 | delta: 1.1e-03 | secs: 0.92424
DEBUG:uss_nmf:::: [181] fit: 1045.84916 | delta: 1.1e-03 | secs: 0.92033
DEBUG:uss_nmf:::: [182] fit: 1044.74327 | delta: 1.1e-03 | secs: 0.70773
DEBUG:uss_nmf:::: [183] fit: 1043.64279 | delta: 1.1e-03 | secs: 0.66187
DEBUG:uss_nmf:::: [184] fit: 1042.54768 | delta: 1.0e-03 | secs: 1.12620
DEBUG:uss_nmf:::: [185] fit: 1041.45788 | delta: 1.0e-03 | secs: 1.13304
DEBUG:uss_nmf:::: [186] fit: 1040.37334 | delta: 1.0e-03 | secs: 0.70554
DEBUG:uss_nmf:::: [187] fit: 1039.29403 | delta: 1.0e-03 | secs: 0.66501
